,Area,Pole Number ,State,Latitude,City,District,Longitude
,Ameerpet,#66103898,Telangana,17.437462,Hyderabad, Hyderabad,78.448288
,Sanathnagar,#28598868,Telangana,17.45269,Hyderabad, Hyderabad,78.443436
,Khairatabad,#19185487,Telangana,17.405621,Hyderabad, Hyderabad,78.46666
,Musheerabad,#91630059,Telangana,17.419979,Hyderabad, Hyderabad,78.51181
,Amberpet,#94951224,Telangana,17.209169,Hyderabad, Hyderabad,77.607903
,Nampally,#08205254,Telangana,16.88599,Hyderabad, Hyderabad,78.959511
,Secunderabad,#63287711,Telangana,17.43993,Hyderabad, Hyderabad,78.498276
,Secunderabad Cantonment,#88204377,Telangana,17.44102,Hyderabad, Hyderabad,78.48847
,Financial District,#45854236,Telangana,42.355301,Hyderabad,Rangareddy,-71.055283
,HITEC City,#17448323,Telangana,34.686722,Hyderabad,Hyderabad,-82.993958
,Jubilee Hills,#41459828,Telangana,17.426161,Hyderabad,Hyderabad,78.412537
,Serilingampally,#19951917,Telangana,17.50058,Hyderabad,Rangareddy,78.325272
,Kukatpally,#00219683,Telangana,17.494793,Hyderabad,Hyderabad ,78.399643
,Patancheru,#31621061,Telangana,17.52891,Hyderabad,Medak,78.26812
,Old City,#04214032,Telangana,25.13113,Hyderabad,Hyderabad,56.337971
,Balanagar,#66908213,Telangana,17.465006,Hyderabad,Medchal Malkajgiri,78.450996
,Qutbullapur,#77949371,Telangana,17.376431,Hyderabad,Medchal Malkajgiri,78.638153
,Medchal,#28792226,Telangana,17.630222,Hyderabad,Medchal Malkajgiri,78.484215
,Alwal,#10529216,Telangana,17.498096,Hyderabad,Medchal Malkajgiri,78.502701
,Malkajgiri,#90717301,Telangana,17.52541,Hyderabad,Medchal Malkajgiri,78.532944
,Kapra,#88269255,Telangana,58.478821,Hyderabad,Medchal Malkajgiri,23.01984
,Keesara,#79718986,Telangana,17.52804,Hyderabad,Medchal Malkajgiri,78.65406
,Uppal Kalan,#52960217,Telangana,17.398376,Hyderabad,Medchal Malkajgiri,78.558266
,Ghatkesar,#85657670,Telangana,17.4529,Hyderabad,Medchal Malkajgiri,78.6791
,Dilsukhnagar,#73937176,Telangana,17.368784,Hyderabad,Rangareddy,78.524673
,LB Nagar,#88658119,Telangana,17.341631,Hyderabad,Hyderabad ,78.5047
,Saroornagar,#54566564,Telangana,17.345369,Hyderabad,Rangareddy,78.527199
,Hayathnagar,#50955069,Telangana,17.42169,Hyderabad,Rangareddy,78.741837
,Mehdipatnam,#09088395,Telangana,17.386221,Hyderabad,Hyderabad ,78.439682
,Rajendranagar,#57863203,Telangana,27.637819,Hyderabad,Rangareddy,80.294029
,Shamshabad,#49141705,Telangana,27.38324,Hyderabad,Rangareddy,81.119408
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
