Pole Number, Area, District, City, State, Latitude, Longitude
#66103898, Ameerpet,  Hyderabad, Hyderabad, Telangana, 17.437400, 78.448200
#28598868, Sanathnagar,  Hyderabad, Hyderabad, Telangana, 17.452600, 78.443400
#19185487, Khairatabad,  Hyderabad, Hyderabad, Telangana, 17.405600, 78.466600
#91630059, Musheerabad,  Hyderabad, Hyderabad, Telangana, 17.419900, 78.511800
#94951224, Amberpet,  Hyderabad, Hyderabad, Telangana, 17.209100, 77.607900
#08205254, Nampally,  Hyderabad, Hyderabad, Telangana, 17.388000, 78.467200
#63287711, Secunderabad,  Hyderabad, Hyderabad, Telangana, 17.439900, 78.498200
#88204377, Secunderabad Cantonment,  Hyderabad, Hyderabad, Telangana, 17.441000, 78.488400
#45854236, Financial District, Rangareddy, Hyderabad, Telangana, 17.411700, 78.342500
#17448323, HITEC City, Hyderabad, Hyderabad, Telangana, 17.443500, 78.377200
#41459828, Jubilee Hills, Hyderabad, Hyderabad, Telangana, 17.426100, 78.412500
#19951917, Serilingampally, Rangareddy, Hyderabad, Telangana, 17.500500, 78.325200
#00219683, Kukatpally, Hyderabad , Hyderabad, Telangana, 17.494700, 78.399600
#31621061, Patancheru, Medak, Hyderabad, Telangana, 17.528900, 78.268100
#04214032, Old City, Hyderabad, Hyderabad, Telangana, 17.361600, 78.474600
#66908213, Balanagar, Medchal Malkajgiri, Hyderabad, Telangana, 17.465000, 78.450900
#77949371, Qutbullapur, Medchal Malkajgiri, Hyderabad, Telangana, 17.376400, 78.638100
#28792226, Medchal, Medchal Malkajgiri, Hyderabad, Telangana, 17.630200, 78.484200
#10529216, Alwal, Medchal Malkajgiri, Hyderabad, Telangana, 17.498000, 78.502700
#90717301, Malkajgiri, Medchal Malkajgiri, Hyderabad, Telangana, 17.525400, 78.532900
#88269255, Kapra, Medchal Malkajgiri, Hyderabad, Telangana, 17.488500, 78.568200
#79718986, Keesara, Medchal Malkajgiri, Hyderabad, Telangana, 17.528000, 78.654000
#52960217, Uppal Kalan, Medchal Malkajgiri, Hyderabad, Telangana, 17.398300, 78.558200
#85657670, Ghatkesar, Medchal Malkajgiri, Hyderabad, Telangana, 17.452900, 78.679100
#73937176, Dilsukhnagar, Rangareddy, Hyderabad, Telangana, 17.368700, 78.524600
#88658119, LB Nagar, Hyderabad , Hyderabad, Telangana, 17.341600, 78.504700
#54566564, Saroornagar, Rangareddy, Hyderabad, Telangana, 17.345300, 78.527100
#50955069, Hayathnagar, Rangareddy, Hyderabad, Telangana, 17.421600, 78.741800
#09088395, Mehdipatnam, Hyderabad , Hyderabad, Telangana, 17.386220, 78.439600
#57863203, Rajendranagar, Rangareddy, Hyderabad, Telangana, 17.322000, 78.402300
#49141705, Shamshabad, Rangareddy, Hyderabad, Telangana, 17.261900, 78.388000
